Country,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Belize,084,0.051583333,0.19175,-0.26125,-0.198916667,0.196,0.0075,-0.286666667,-0.018583333,-0.2545,0.317666667,-0.159166667,-0.045083333,0.204166667,0.245916667,-0.198333333,0.1945,-0.470583333,-0.092166667,0.051166667,0.193333333,0.372916667,-0.031666667,0.3825,0.571166667,-0.046916667,0.033833333,0.082333333,0.161583333,0.20625,0.014916667,0.250333333,0.563333333,0.347916667,0.303083333,0.608916667,0.70475,0.1505,0.78825,0.928166667,0.066666667,-0.015,0.223916667,0.487333333,0.565333333,0.444083333,0.619,0.4085,0.55875,0.224666667,0.60775,0.202333333,0.54275,0.434416667,0.913333333
Benin,204,-0.026,-0.285916667,-0.2015,0.16875,-0.183666667,-0.183333333,0.0135,-0.253916667,-0.054333333,0.344083333,0.294916667,-0.071166667,0.131333333,0.65725,-0.130666667,-0.27925,-0.269,0.23175,0.013833333,0.330666667,0.334333333,0.233333333,0.0655,0.49975,0.3155,0.27425,0.115916667,0.977583333,0.362333333,-0.069583333,0.563833333,0.150916667,0.000583333,0.367916667,0.105583333,0.386166667,0.473916667,0.312,0.858583333,0.450416667,0.407666667,0.445833333,0.5895,0.734583333,0.642,0.923333333,0.914333333,0.8405,0.460916667,0.926083333,1.095583333,0.831166667,0.521833333,0.930625
Bhutan,064,0.31525,-0.10075,-0.276,-0.36175,0.127416667,-0.49875,0.140333333,-0.392083333,-0.475666667,0.179916667,-0.002833333,-0.341583333,0.01125,0.270333333,0.084416667,0.13825,0.149333333,-0.10525,-0.234833333,0.333416667,0.121583333,-0.05125,-0.065,-0.37025,0.186333333,0.294333333,-0.116333333,0.2105,0.546166667,0.140333333,0.095583333,-0.115333333,-0.283166667,-0.02225,0.189666667,0.318416667,0.264666667,-0.531166667,0.479833333,0.704916667,-0.111583333,0.31575,0.070333333,0.122583333,0.098083333,0.335916667,0.744,0.5895,0.346333333,1.00475,0.83725,0.29025,0.16975,1.221375
Bolivia,068,-0.4755,0.298,-0.272666667,0.440916667,-0.232916667,0.16275,0.136333333,0.388083333,0.061583333,0.684166667,0.44625,-0.330333333,0.2655,0.244083333,-0.280583333,-0.02775,-0.241083333,0.176666667,0.21475,-0.030833333,-0.035916667,-0.092,0.230083333,0.501666667,0.221833333,0.413166667,0.412583333,0.802916667,0.396833333,0.086916667,0.256083333,0.684083333,0.135916667,0.454916667,0.91475,0.660583333,-0.016333333,0.541333333,0.397333333,-0.03825,0.007166667,0.164083333,0.53575,0.19275,0.501,0.30175,0.4,0.059333333,0.119,0.308333333,0.376416667,0.485416667,0.537166667,-0.429125
Bosnia And Herzegovina,070,0.511333333,0.700333333,-0.414416667,-0.230916667,-0.398916667,-0.431916667,0.467916667,0.097166667,0.116666667,-0.379916667,-0.1445,-0.1055,0.092833333,-0.269833333,0.120833333,0.31175,-0.649083333,0.48175,-0.640583333,0.358916667,-0.760333333,-0.110166667,0.459666667,0.29375,-0.287166667,-0.213083333,0.08775,0.06575,0.427083333,0.48025,1.01425,-0.20275,0.894416667,0.409666667,1.529083333,0.2085,-0.298,0.2385,0.554583333,0.826416667,1.598083333,0.830666667,1.308333333,0.945166667,0.448333333,-0.247916667,0.52125,1.45175,1.506666667,1.310666667,0.721416667,1.18975,1.479,2.3295
Botswana,072,0.161333333,0.16725,0.232416667,-0.49675,0.037833333,0.252083333,0.419916667,-0.3575,-0.06,0.322083333,0.865833333,0.090916667,0.068166667,0.383,-0.766333333,-0.31975,-0.84575,0.073916667,-0.296166667,0.37575,-0.144083333,-0.384333333,0.497833333,0.974416667,0.535916667,0.282666667,0.318333333,1.154333333,0.263166667,0.114166667,0.954833333,0.069666667,1.300833333,0.69075,0.389166667,1.223833333,0.209666667,0.346833333,1.080583333,0.988,-0.117666667,0.3605,0.995666667,1.405166667,0.356083333,1.378833333,-0.186,0.4105,0.321166667,0.14975,0.740166667,-0.034916667,0.410083333,-0.16425
Brazil,076,-0.177333333,0.216416667,-0.087666667,0.241583333,-0.195916667,0.053833333,0.156416667,0.083666667,-0.29875,0.35275,0.261083333,-0.3215,0.167333333,0.239583333,-0.3485,-0.25325,-0.211,0.202333333,-0.0025,0.014333333,0.218,0.053416667,0.300333333,0.42075,0.179916667,0.035666667,0.201,0.633416667,0.247333333,-0.058583333,0.344916667,0.362166667,0.321333333,0.424916667,0.524666667,0.624416667,0.407833333,0.629416667,1.02875,0.356583333,0.2665,0.574416667,0.870333333,0.691,0.5665,0.876,0.587,0.738,0.480333333,0.670583333,0.882416667,0.498916667,0.787083333,0.418125
British Virgin Islands,086,0.367083333,0.124833333,0.033166667,0.252416667,0.12975,-0.246666667,-0.110166667,-0.32,-0.226666667,0.22525,0.056583333,-0.257833333,-0.14875,0.183583333,-0.378333333,-0.3025,-0.398166667,0.180833333,0.167583333,-0.000666667,0.44,0.35325,0.003833333,0.408166667,0.049333333,0.043833333,0.0595,0.593583333,0.2785,0.010416667,0.271666667,0.227583333,0.226416667,0.3805,0.49075,0.678916667,0.193583333,0.564666667,0.902333333,0.44825,0.180583333,0.583166667,0.747833333,0.826583333,0.47925,0.874666667,0.824833333,0.92,0.374,0.6885,1.043666667,0.60925,0.810166667,0.762333333
Bulgaria,100,0.548083333,0.440916667,0.352166667,-0.12825,-0.367916667,-0.421083333,0.968,-0.032166667,0.30825,-0.3355,0.234583333,-0.137166667,-0.00275,-0.436666667,-0.1125,0.324833333,-0.8165,0.35,-0.444166667,0.311416667,-0.66275,0.055083333,-0.086,0.1185,0.046333333,-0.429416667,-0.002166667,-0.278166667,0.058583333,0.401916667,0.897666667,-0.519333333,0.32175,0.013416667,1.500416667,0.109666667,-0.2715,-0.474666667,0.398916667,1.0885,1.206833333,0.923833333,0.980333333,0.253,0.541666667,0.081583333,0.417583333,1.614,1.28775,1.194,1.066333333,0.347833333,1.327583333,2.711875
Burkina Faso,854,-0.057916667,-0.3725,-0.21525,0.171,-0.166166667,-0.29825,0.013,-0.271583333,-0.067083333,0.542583333,0.310916667,0.0385,0.142583333,0.630166667,-0.173833333,-0.286833333,-0.419166667,0.159583333,0.255666667,0.292333333,0.576833333,0.2155,-0.097166667,0.525083333,0.438666667,0.246833333,0.107833333,0.973833333,0.24575,0.00825,0.616333333,0.269416667,-0.058,0.431083333,-0.150666667,0.279583333,0.549083333,0.379166667,0.802916667,0.261166667,0.401416667,0.542166667,0.788166667,0.6935,0.799166667,1.048333333,0.73025,0.79325,0.299583333,0.893,1.09875,0.870666667,0.44,1.1955
Burma,104,0.363083333,-0.002083333,-0.066833333,-0.162166667,0.034,-0.183,0.3755,-0.212833333,-0.15975,0.1155,-0.033916667,-0.504916667,0.104166667,0.111583333,-0.1655,-0.051916667,-0.252833333,-0.142833333,0.017666667,0.495666667,0.299666667,0.058,-0.089583333,-0.044416667,0.031083333,-0.0335,-0.001583333,0.33125,0.353333333,0.062916667,0.042583333,0.12375,-0.383,-0.163083333,0.123333333,0.23525,0.088333333,-0.149416667,0.76125,0.360166667,-0.089166667,0.30725,0.272416667,0.268083333,0.08825,0.561083333,0.412166667,0.139666667,0.155916667,0.681333333,0.838666667,0.089333333,0.714416667,1.232875
Burundi,108,-0.075166667,0.0335,-0.286833333,-0.321666667,-0.104166667,-0.02425,0.017166667,-0.161583333,-0.1745,0.263416667,-0.045083333,-0.440916667,0.160166667,0.234416667,-0.16,-0.172,-0.008,0.319416667,0.214,0.27625,0.477,0.31125,0.270333333,0.74575,0.209416667,0.179583333,0.289583333,0.86975,0.538833333,-0.089083333,0.309333333,0.138333333,0.46825,0.383333333,0.439,0.724333333,0.29575,0.68425,0.7135,0.214,0.495833333,0.410333333,0.649833333,0.831333333,0.860416667,1.342166667,0.966333333,0.480916667,0.467916667,0.66425,0.96875,0.445916667,0.65425,0.76275
Cambodia,116,0.222416667,0.0265,-0.250666667,-0.2675,0.064166667,-0.02875,0.430083333,-0.29525,0.058916667,0.315416667,0.058583333,-0.586083333,0.042916667,0.278916667,-0.217583333,-0.1485,-0.302333333,-0.030416667,0.077,0.297583333,0.257083333,0.11525,-0.002166667,0.244583333,-0.14825,0.018666667,-0.143166667,0.416666667,0.16675,0.012666667,0.309333333,0.251416667,0.1205,-0.04175,0.173083333,0.130416667,-0.111166667,0.269333333,1.006833333,-0.11525,0.107166667,0.295833333,0.605416667,0.349416667,0.229416667,0.44,0.463916667,0.291833333,-0.052916667,0.30275,0.92525,0.0535,0.85625,1.309625
Cameroon,120,0.06775,-0.186083333,-0.076833333,0.113833333,-0.147916667,-0.105083333,0.059166667,-0.0745,-0.084166667,0.215,0.170416667,-0.187833333,0.092583333,0.467583333,-0.208166667,-0.20975,-0.145916667,0.241166667,0.06725,0.346916667,0.32875,-0.139583333,-0.143916667,0.236333333,0.043333333,-0.064916667,0.066916667,0.579333333,0.237,-0.22125,0.449666667,0.293833333,-0.142666667,0.22225,0.191666667,0.378,0.26075,0.377333333,0.883083333,0.216166667,0.173,0.211916667,0.51025,0.572333333,0.730833333,0.827833333,0.853416667,0.769833333,0.681083333,0.967333333,1.02475,0.436583333,0.437,0.867625
Canada,124,0.513166667,-0.148166667,0.046166667,0.307916667,-0.537,-0.596666667,-0.221333333,-0.362083333,0.27425,0.417666667,-0.183166667,0.050416667,-1.882916667,0.7405,-0.721083333,-0.025666667,0.129583333,1.07925,-0.3805,-0.08575,0.503083333,2.05275,-0.955166667,0.16825,0.28575,0.018833333,0.076083333,1.576666667,0.794833333,-0.153333333,-0.101916667,0.493333333,-0.008916667,0.5185,0.486333333,0.605666667,-0.021166667,0.6885,2.366083333,1.733666667,0.894083333,1.819916667,0.557166667,1.0605,-0.003083333,1.61125,2.459833333,0.859083333,0.62475,0.784916667,3.032083333,1.362916667,1.743166667,3.279333333
Cape Verde,132,-0.276833333,0.042833333,0.223833333,0.218416667,-0.024833333,-0.311833333,0.226416667,-0.215333333,-0.365583333,0.71625,0.488416667,-0.236166667,-0.215833333,0.201583333,-0.559416667,-0.216583333,-0.206166667,0.23525,0.336833333,0.681833333,0.48325,0.384083333,-0.059666667,0.498,0.125166667,0.093666667,-0.05925,0.676,0.368333333,0.317583333,0.495333333,0.381416667,0.43225,0.199666667,0.208833333,0.917333333,0.980666667,1.056166667,1.123666667,0.377,0.465916667,1.035583333,0.854666667,0.575666667,0.642916667,0.883,0.818416667,0.543666667,0.71975,0.349083333,1.582416667,1.058833333,0.8535,0.2805
Cayman Islands,136,0.128916667,0.194583333,-0.095333333,-0.087166667,0.213666667,-0.02125,-0.301083333,-0.129666667,-0.43025,0.052583333,-0.1735,-0.124,0.152,0.134666667,-0.090166667,0.125083333,-0.107083333,0.171166667,0.085666667,0.092166667,0.23525,-0.135916667,0.442583333,0.348166667,0.10775,0.132916667,0.218416667,0.309583333,0.351833333,0.195666667,0.451416667,0.458916667,0.222083333,0.351666667,0.726916667,0.674,0.219166667,0.841666667,0.791,0.258666667,0.191833333,0.399166667,0.81275,0.741083333,0.675916667,0.641083333,0.58475,0.713916667,0.467166667,0.58275,0.124416667,0.532166667,0.21125,0.648222222
Central African Republic,140,0.0625,-0.22825,-0.210833333,0.00675,-0.18725,-0.067916667,0.021083333,-0.225583333,-0.196166667,0.144666667,0.08975,-0.239333333,0.111416667,0.464666667,-0.197916667,-0.07675,-0.053833333,0.137,0.059,0.336583333,0.4465,-0.064,-0.082833333,0.250166667,-0.044583333,-0.031166667,0.165666667,0.5275,0.194,-0.021666667,0.375916667,0.359833333,-0.247916667,0.40875,0.34275,0.291833333,0.37725,0.702666667,0.864333333,0.129416667,0.273333333,0.370166667,0.479416667,0.674833333,0.8,0.992166667,0.865083333,0.727833333,0.628666667,1.170916667,0.989833333,0.29875,0.2995,0.870875
Chad,148,0.3435,-0.943416667,-0.076,0.367916667,-0.200166667,-0.2945,-0.172333333,-0.226666667,-0.12075,0.718,-0.15925,-0.266916667,0.272,0.529583333,-0.29,-0.192166667,0.30775,-0.352666667,-0.069916667,0.371333333,0.3005,0.014833333,0.079833333,-0.0405,0.383083333,0.232,0.376166667,0.479666667,0.14025,-0.34,0.43925,0.3735,-0.260333333,0.432416667,0.081083333,0.281833333,0.6035,0.617416667,0.715833333,0.599833333,0.267833333,0.45525,0.592833333,0.698083333,0.837416667,1.03125,0.868,0.680166667,0.5225,1.14425,1.5165,0.604833333,0.521166667,1.176
Chile,152,0.174166667,-0.084666667,0.254083333,0.049,-0.144166667,0.126583333,-0.082083333,-0.011416667,0.296916667,0.283333333,0.07375,-0.419833333,0.006083333,-0.166666667,-0.2885,-0.161666667,-0.23475,0.434666667,0.378083333,0.21725,0.32375,0.375083333,0.470333333,0.730166667,-0.1375,0.459916667,0.2575,0.691583333,0.14525,0.4445,0.25125,0.145416667,0.15775,0.364583333,0.474333333,0.204916667,0.178,0.757,0.712416667,0.249583333,-0.015916667,0.239666667,0.162416667,0.498416667,0.625833333,0.311833333,0.594,-0.090083333,0.5825,0.414416667,0.132833333,0.45225,0.692583333,0.297375
China,156,0.100916667,0.260583333,-0.086333333,0.2625,-0.043916667,0.009916667,0.172,-0.387416667,-0.063,-0.334,-0.221833333,0.05625,0.024416667,0.419583333,-0.130583333,0.310916667,-0.318833333,0.061333333,0.258166667,0.284083333,0.160083333,0.136416667,0.35975,0.135083333,-0.272083333,-0.04975,0.080166667,0.459,0.430833333,0.44975,0.846,0.307166667,0.068416667,0.129416667,0.706,0.421583333,0.172666667,0.577333333,1.261833333,1.05025,0.448083333,0.806416667,1.005666667,0.732,0.92275,0.6235,1.158,1.33675,0.776083333,1.0195,0.758416667,0.567083333,0.287083333,2.505
